Date,Firm,Strategist,Stock Allocation %
1997-11-21,Merrill Lynch,Charles Clough,40.0
1997-11-21,Morgan Stanley,Peter Canelo,70.0
1997-11-21,NatWest,Thomas McManus,64.0
1997-11-21,Oppenheimer,Michael Metz,25.0
1997-11-21,PaineWebber,Ed Kerschner,56.0
1997-11-21,Prudential,Greg Smith,60.0
1997-11-21,Salomon,David Shulman,40.0
1997-11-21,Smith Barney,Committee,55.0
1997-11-21,UBS,Gail Dudack,45.0
1997-11-21,Wheat First,Don Hays,62.0
1997-11-28,A.G. Edwards,Ray Worseck,60.0
1997-11-28,Bear Stearns,Liz Mackay,50.0
1997-11-28,Credit Suisse,Christine Callies,60.0
1997-11-28,DLJ,Eric Miller,50.0
1997-11-28,Goldman Sachs,Abby Joseph Cohen,65.0
1997-11-28,JPMorgan,Douglas Cliggott,60.0
1997-11-28,Lehman,Jeffrey Applegate,75.0
1997-11-28,Merrill Lynch,Charles Clough,40.0
1997-11-28,Morgan Stanley,Peter Canelo,70.0
1997-11-28,NatWest,Thomas McManus,64.0
1997-11-28,Oppenheimer,Michael Metz,25.0
1997-11-28,PaineWebber,Ed Kerschner,56.0
1997-11-28,Prudential,Greg Smith,60.0
1997-11-28,Salomon,David Shulman,40.0
1997-11-28,Smith Barney,Committee,55.0
1997-11-28,UBS,Gail Dudack,45.0
1997-11-28,Wheat First,Don Hays,62.0
1997-12-08,A.G. Edwards,Ray Worseck,60.0
1997-12-08,Bear Stearns,Liz Mackay,50.0
1997-12-08,Credit Suisse,Christine Callies,60.0
1997-12-08,DLJ,Eric Miller,50.0
1997-12-08,Goldman Sachs,Abby Joseph Cohen,65.0
1997-12-08,JPMorgan,Douglas Cliggott,60.0
1997-12-08,Lehman,Jeffrey Applegate,75.0
1997-12-08,Merrill Lynch,Charles Clough,40.0
1997-12-08,Oppenheimer,Michael Metz,25.0
1997-12-08,PaineWebber,Ed Kerschner,56.0
1997-12-08,Prudential,Greg Smith,60.0
1997-12-08,Salomon,,
1997-12-08,Smith Barney,Committee,55.0
1997-12-08,UBS,Gail Dudack,45.0
1997-12-08,Wheat First,Don Hays,53.0
1997-12-12,A.G. Edwards,Ray Worseck,60.0
1997-12-12,Bear Stearns,Liz Mackay,50.0
1997-12-12,Credit Suisse,Christine Callies,60.0
1997-12-12,DLJ,Eric Miller,50.0
1997-12-12,Goldman Sachs,Abby Joseph Cohen,65.0
1997-12-12,JPMorgan,Douglas Cliggott,60.0
1997-12-12,Lehman,Jeffrey Applegate,75.0
1997-12-12,Merrill Lynch,Charles Clough,40.0
1997-12-12,NatWest,Thomas McManus,64.0
1997-12-12,Oppenheimer,Michael Metz,25.0
1997-12-12,PaineWebber,Ed Kerschner,57.0
1997-12-12,Prudential,Greg Smith,60.0
1997-12-12,Salomon,,
1997-12-12,Smith Barney,Committee,55.0
1997-12-12,UBS,Gail Dudack,45.0
1997-12-12,Wheat First,Don Hays,53.0
1997-12-19,A.G. Edwards,Ray Worseck,60.0
1997-12-19,Bear Stearns,Liz Mackay,50.0
1997-12-19,CIBC,,
1997-12-19,Credit Suisse,Christine Callies,60.0
1997-12-19,DLJ,Eric Miller,50.0
1997-12-19,Goldman Sachs,Abby Joseph Cohen,65.0
1997-12-19,JPMorgan,Douglas Cliggott,60.0
1997-12-19,Lehman,Jeffrey Applegate,75.0
1997-12-19,Merrill Lynch,Charles Clough,40.0
1997-12-19,Morgan Stanley,Peter Canelo,70.0
1997-12-19,NatWest,Thomas McManus,64.0
1997-12-19,Oppenheimer,Michael Metz,25.0
1997-12-19,PaineWebber,Ed Kerschner,57.0
1997-12-19,Prudential,Greg Smith,60.0
1997-12-19,Salomon,,
1997-12-19,Smith Barney,Committee,55.0
1997-12-19,UBS,Gail Dudack,45.0
1997-12-19,Wheat First,Don Hays,53.0
1997-12-26,A.G. Edwards,Ray Worseck,60.0
1997-12-26,Bear Stearns,Liz Mackay,50.0
1997-12-26,CIBC,,
1997-12-26,Credit Suisse,Christine Callies,60.0
1997-12-26,DLJ,Eric Miller,50.0
1997-12-26,Goldman Sachs,Abby Joseph Cohen,65.0
1997-12-26,JPMorgan,Douglas Cliggott,60.0
1997-12-26,Lehman,Jeffrey Applegate,75.0
1997-12-26,Merrill Lynch,Charles Clough,40.0
1997-12-26,Morgan Stanley,Peter Canelo,70.0
1997-12-26,NatWest,Thomas McManus,64.0
1997-12-26,Oppenheimer,Michael Metz,25.0
1997-12-26,PaineWebber,Ed Kerschner,57.0
1997-12-26,Prudential,Greg Smith,60.0
1997-12-26,Salomon,,
1997-12-26,Smith Barney,Committee,55.0
1997-12-26,UBS,Gail Dudack,45.0
1997-12-26,Wheat First,Don Hays,53.0
